candidate_id,current_title,years_of_experience,location,country,semantic_score,skill_required_score,skill_preferred_score,title_career_score,experience_score,location_score,education_score,behavior_modifier,is_honeypot,honeypot_reasons,overall_score,matched_required_skills,missing_required_skills,title_career_reasons
CAND_0018499,Senior Machine Learning Engineer,7.2,"Noida, Uttar Pradesh",India,0.8483317,0.4107142857142857,0.2714285714285714,0.95,1.0,1.0,1.0,1.05,False,,0.99,"['embeddings', 'retrieval', 'ranking', 'faiss', 'pinecone', 'weaviate', 'milvus', 'bge']","['hybrid search', 'sentence-transformers', 'elasticsearch', 'opensearch', 'qdrant', 'e5']","[""current title 'Senior Machine Learning Engineer' is a direct match for this JD's target roles""]"
CAND_0077337,Staff Machine Learning Engineer,7.0,"Kochi, Kerala",India,0.90473235,0.37142857142857144,0.3071428571428571,0.95,1.0,0.75,1.0,1.05,False,,0.9892529216094836,"['embeddings', 'retrieval', 'ranking', 'sentence-transformers', 'opensearch', 'pinecone', 'qdrant', 'bge']","['hybrid search', 'faiss', 'elasticsearch', 'weaviate', 'milvus', 'e5']","[""current title 'Staff Machine Learning Engineer' is a direct match for this JD's target roles""]"
CAND_0011162,Recommendation Systems Engineer,5.8,"Coimbatore, Tamil Nadu",India,0.8569406,0.4571428571428572,0.2642857142857143,0.95,1.0,0.75,1.0,1.0478,False,,0.9863788817166923,"['embeddings', 'ranking', 'faiss', 'opensearch', 'pinecone', 'weaviate', 'milvus']","['retrieval', 'hybrid search', 'sentence-transformers', 'elasticsearch', 'qdrant', 'bge', 'e5']","[""current title 'Recommendation Systems Engineer' is a direct match for this JD's target roles""]"
CAND_0011687,Senior NLP Engineer,7.8,"Indore, Madhya Pradesh",India,0.86517745,0.4107142857142857,0.17142857142857143,0.95,1.0,0.75,1.0,1.05,False,,0.9700980337487136,"['embeddings', 'retrieval', 'ranking', 'faiss', 'opensearch', 'pinecone', 'weaviate', 'bge']","['hybrid search', 'sentence-transformers', 'elasticsearch', 'qdrant', 'milvus', 'e5']","[""current title 'Senior NLP Engineer' is a direct match for this JD's target roles""]"
CAND_0068811,Applied ML Engineer,8.0,"Pune, Maharashtra",India,0.87012666,0.38571428571428573,0.125,0.95,1.0,1.0,0.8,1.05,False,,0.964004198854452,"['embeddings', 'ranking', 'opensearch', 'pinecone', 'weaviate', 'qdrant']","['retrieval', 'hybrid search', 'sentence-transformers', 'faiss', 'elasticsearch', 'milvus', 'bge', 'e5']","[""current title 'Applied ML Engineer' is a direct match for this JD's target roles""]"
CAND_0081846,Lead AI Engineer,6.7,"Jaipur, Rajasthan",India,0.853729,0.37857142857142856,0.19999999999999998,0.95,1.0,0.75,1.0,1.05,False,,0.9603348308772827,"['embeddings', 'retrieval', 'ranking', 'sentence-transformers', 'faiss', 'elasticsearch', 'qdrant', 'bge']","['hybrid search', 'opensearch', 'pinecone', 'weaviate', 'milvus', 'e5']","[""current title 'Lead AI Engineer' is a direct match for this JD's target roles""]"
CAND_0002025,Senior AI Engineer,5.9,"Trivandrum, Kerala",India,0.87226164,0.33214285714285713,0.2357142857142857,0.95,1.0,0.75,1.0,1.05,False,,0.9592154527087202,"['embeddings', 'ranking', 'faiss', 'opensearch', 'pinecone', 'weaviate']","['retrieval', 'hybrid search', 'sentence-transformers', 'elasticsearch', 'qdrant', 'milvus', 'bge', 'e5']","[""current title 'Senior AI Engineer' is a direct match for this JD's target roles""]"
CAND_0046064,Senior NLP Engineer,8.9,"Coimbatore, Tamil Nadu",India,0.8594127,0.35625,0.4178571428571428,0.95,1.0,0.75,1.0,1.02745,False,,0.9582055660415886,"['embeddings', 'retrieval', 'ranking', 'faiss', 'elasticsearch', 'opensearch', 'pinecone', 'bge']","['hybrid search', 'sentence-transformers', 'weaviate', 'qdrant', 'milvus', 'e5']","[""current title 'Senior NLP Engineer' is a direct match for this JD's target roles""]"
CAND_0046525,Senior Machine Learning Engineer,6.1,"Pune, Maharashtra",India,0.8571249,0.28928571428571426,0.23214285714285715,0.95,1.0,1.0,1.0,1.05,False,,0.9580581770083149,"['embeddings', 'retrieval', 'ranking', 'faiss', 'elasticsearch', 'qdrant', 'bge']","['hybrid search', 'sentence-transformers', 'opensearch', 'pinecone', 'weaviate', 'milvus', 'e5']","[""current title 'Senior Machine Learning Engineer' is a direct match for this JD's target roles""]"
CAND_0039754,Senior Applied Scientist,16.2,"Indore, Madhya Pradesh",India,0.89455456,0.4928571428571429,0.3071428571428571,0.95,0.6000000000000001,0.75,1.0,1.05,False,,0.9547637996512127,"['embeddings', 'retrieval', 'ranking', 'sentence-transformers', 'faiss', 'elasticsearch', 'opensearch', 'pinecone', 'weaviate', 'qdrant', 'bge']","['hybrid search', 'milvus', 'e5']","[""current title 'Senior Applied Scientist' is a direct match for this JD's target roles""]"
CAND_0071974,Senior AI Engineer,7.8,"Vizag, Andhra Pradesh",India,0.8879205,0.4642857142857143,0.26071428571428573,0.95,1.0,0.75,1.0,1.0001499999999999,False,,0.9543311295480125,"['embeddings', 'retrieval', 'ranking', 'elasticsearch', 'pinecone', 'weaviate', 'qdrant', 'bge']","['hybrid search', 'sentence-transformers', 'faiss', 'opensearch', 'milvus', 'e5']","[""current title 'Senior AI Engineer' is a direct match for this JD's target roles""]"
CAND_0099806,AI Engineer,4.6,"Bhubaneswar, Odisha",India,0.8367897,0.42142857142857143,0.17500000000000002,0.95,0.9199999999999999,0.75,1.0,1.05,False,,0.9498849433079405,"['embeddings', 'retrieval', 'ranking', 'faiss', 'elasticsearch', 'weaviate', 'qdrant']","['hybrid search', 'sentence-transformers', 'opensearch', 'pinecone', 'milvus', 'bge', 'e5']","[""current title 'AI Engineer' is a direct match for this JD's target roles""]"
CAND_0088025,Staff Machine Learning Engineer,8.6,"Jaipur, Rajasthan",India,0.8895431,0.24642857142857144,0.4220238095238095,0.95,1.0,0.75,0.8,1.04795,False,,0.9482720633235173,"['retrieval', 'ranking', 'elasticsearch', 'pinecone', 'bge']","['embeddings', 'hybrid search', 'sentence-transformers', 'faiss', 'opensearch', 'weaviate', 'qdrant', 'milvus', 'e5']","[""current title 'Staff Machine Learning Engineer' is a direct match for this JD's target roles""]"
